code,label,speciesid,sciename,label_fr, label_es,iccspcgrp,taxontype
CCE,Bull shark,136,Carcharhinus leucas,Requin bouledogue,Tiburón sarda,5-Sharks (other),1-Species
CCL,Blacktip shark,129,Carcharhinus limbatus,Requin bordé,Tiburón macuira,5-Sharks (other),1-Species
CCN,Blacknose shark,131,Carcharhinus acronotus,Requin nez noir,Tiburón amarillo,5-Sharks (other),1-Species
CCO,Finetooth shark,143,Carcharhinus isodon,Requin à petits dents,Tiburón dentiliso,5-Sharks (other),1-Species
CCP,Sandbar shark,128,Carcharhinus plumbeus,Requin gris,Tiburón trozo,5-Sharks (other),1-Species
CCR,Smalltail shark,133,Carcharhinus porosus,Requin tiqueue,Tiburón poroso,5-Sharks (other),1-Species
CCS,Night shark,141,Carcharhinus signatus,Requin de nuit,Tiburón de noche,5-Sharks (other),1-Species
CCT,Sand tiger shark,104,Carcharias taurus,Requin taureau,Toro bacota,5-Sharks (other),1-Species
CFB,Black dogfish,187,Centroscyllium fabricii,Aiguillat noir,Tollo negro merga,5-Sharks (other),1-Species
CPL,Lowfin gulper shark,174,Centrophorus lusitanicus,Squale-chagrin longue dorsale,Quelvacho lusitánico,5-Sharks (other),1-Species
CTK,Brown smooth-hound,156,Mustelus henlei,Emissole brune,Musola parda,5-Sharks (other),1-Species
CVJ,Crevalle jack,301,Caranx hippos,Carangue crevalle,Jurel común,6-Other Species,1-Species
CVX,Ground sharks,165,Carcharhiniformes,,,5-Sharks (other),9-other
CXX,Coastal Sharks nei,501,Coastal Sharks nei,,,5-Sharks (other),9-other
CYO,Portuguese dogfish,181,Centroscymnus coelolepis,Pailona commun,Pailona,5-Sharks (other),1-Species
CYP,Longnose velvet dogfish,182,Centroscymnus crepidater,Pailona à long nez,Sapata negra,5-Sharks (other),1-Species
DCA,Birdbeak dogfish,179,Deania calcea,Squale savate,Tollo pajarito,5-Sharks (other),1-Species
DGH,Dogfishes and hounds nei,189,Squalidae / Scyliorhinidae,Squales et émissoles nca,"Galludos, tollos y musolas nep",5-Sharks (other),4-Family
DGS,Picked dogfish,168,Squalus acanthias,Aiguillat commun,Mielga,5-Sharks (other),1-Species
DGX,Dogfish sharks nei,188,Squalidae,Squales nca,"Galludos, tollos, nep",5-Sharks (other),4-Family
DGZ,Dogfish nei,170,Squalus spp,Aiguillats nca,Mielgas nep,5-Sharks (other),2-Genus
DOP,Shortnose spurdog,169,Squalus megalops,Aiguillat nez court,Galludo ñato,5-Sharks (other),1-Species
DUS,Dusky shark,134,Carcharhinus obscurus,Requin de sable,Tiburón arenero,5-Sharks (other),1-Species
ETR,Great lanternshark,176,Etmopterus princeps,Sagre rude,Tollo lucero raspa,5-Sharks (other),1-Species
ETX,Velvet belly,175,Etmopterus spinax,Sagre commun,Negrito,5-Sharks (other),1-Species
FRZ,Frigate and bullet tunas,71,Auxis thazard / A.rochei,Auxide et bonitou,Melva y melvera,1-Tuna (major sp.),1-Species
GAG,Tope shark,161,Galeorhinus galeus,Requin-hâ,Cazón,5-Sharks (other),1-Species
GAR,Garfish,347,Belone belone,Orphie,Aguja,6-Other Species,1-Species
GAU,Crest-tail catsharks nei,120,Galeus spp,Chiens galeus nca,Pintarrojas nep,5-Sharks (other),2-Genus
GBA,Great barracuda,302,Sphyraena barracuda,Barracuda,Picuda barracuda,6-Other Species,1-Species
GNC,Nurse shark,116,Ginglymostoma cirratum,Requin-nourrice,Gata nodriza,5-Sharks (other),1-Species
GNG,Nurse sharks nei,117,Ginglymostoma spp,Requins-nourrices nca,Gatas nodrizas nep,5-Sharks (other),2-Genus
