code,uri,label,definition,Rounded size,IOTC_bio_length_class_code,IOTC_bio_length_class_label,bio_length_measurement_type_label,bio_length_measurement_type_code,length_measurement_unit
173,NA,173-173.9 cm,NA,173,,173-173.9 cm,,,cm
174,NA,174-174.9 cm,NA,174,,174-174.9 cm,,,cm
175,NA,175-175.9 cm,NA,175,,175-175.9 cm,,,cm
176,NA,176-176.9 cm,NA,176,,176-176.9 cm,,,cm
177,NA,177-177.9 cm,NA,177,,177-177.9 cm,,,cm
178,NA,178-178.9 cm,NA,178,,178-178.9 cm,,,cm
179,NA,179-179.9 cm,NA,179,,179-179.9 cm,,,cm
180,NA,180-180.9 cm,NA,180,,180-180.9 cm,,,cm
181,NA,181-181.9 cm,NA,181,,181-181.9 cm,,,cm
182,NA,182-182.9 cm,NA,182,,182-182.9 cm,,,cm
183,NA,183-183.9 cm,NA,183,,183-183.9 cm,,,cm
184,NA,184-184.9 cm,NA,184,,184-184.9 cm,,,cm
185,NA,185-185.9 cm,NA,185,,185-185.9 cm,,,cm
